layer,level,class,id,metric,value,tf_id,dist
2,landscape,NA,NA,msidi,0.032279393790147826,375,500
2,landscape,NA,NA,para_mn,0.3690265838227529,375,500
2,landscape,NA,NA,shdi,0.09127817766787788,375,500
1,landscape,NA,NA,frac_mn,1.1565694975662493,376,500
1,landscape,NA,NA,msidi,-0,376,500
1,landscape,NA,NA,para_mn,0.11863303794074086,376,500
1,landscape,NA,NA,shdi,0,376,500
2,landscape,NA,NA,frac_mn,1.0963692549419852,376,500
2,landscape,NA,NA,msidi,0.7000884350838199,376,500
2,landscape,NA,NA,para_mn,0.2969936847267096,376,500
2,landscape,NA,NA,shdi,0.8726795926731902,376,500
1,landscape,NA,NA,frac_mn,1.1502333215340659,378,500
1,landscape,NA,NA,msidi,-0,378,500
1,landscape,NA,NA,para_mn,0.10044137874907098,378,500
1,landscape,NA,NA,shdi,0,378,500
2,landscape,NA,NA,frac_mn,1.0613066667417819,378,500
2,landscape,NA,NA,msidi,0.07654977542971499,378,500
2,landscape,NA,NA,para_mn,0.29318267830481654,378,500
2,landscape,NA,NA,shdi,0.18604310223778314,378,500
1,landscape,NA,NA,frac_mn,1.0914642411934632,379,500
1,landscape,NA,NA,msidi,-0,379,500
1,landscape,NA,NA,para_mn,0.1797143567964328,379,500
1,landscape,NA,NA,shdi,0,379,500
2,landscape,NA,NA,frac_mn,1.0732073804539333,379,500
2,landscape,NA,NA,msidi,0.08330926153027073,379,500
2,landscape,NA,NA,para_mn,0.2650472558332917,379,500
2,landscape,NA,NA,shdi,0.18869853861193872,379,500
1,landscape,NA,NA,frac_mn,1.1202357695753684,385,500
1,landscape,NA,NA,msidi,-0,385,500
1,landscape,NA,NA,para_mn,0.3972191077264258,385,500
1,landscape,NA,NA,shdi,0,385,500
2,landscape,NA,NA,frac_mn,1.0593736840043477,385,500
2,landscape,NA,NA,msidi,0.08212592540528695,385,500
2,landscape,NA,NA,para_mn,0.36288565675519174,385,500
2,landscape,NA,NA,shdi,0.22344003840248178,385,500
1,landscape,NA,NA,frac_mn,1.1485363330854605,386,500
1,landscape,NA,NA,msidi,-0,386,500
1,landscape,NA,NA,para_mn,0.1958362355726399,386,500
1,landscape,NA,NA,shdi,0,386,500
2,landscape,NA,NA,frac_mn,1.0620147008860419,386,500
2,landscape,NA,NA,msidi,0.06131836812222524,386,500
2,landscape,NA,NA,para_mn,0.35314855306297677,386,500
2,landscape,NA,NA,shdi,0.17706198568230125,386,500
1,landscape,NA,NA,frac_mn,1.102509359930793,390,500
1,landscape,NA,NA,msidi,-0,390,500
1,landscape,NA,NA,para_mn,0.44009505671321747,390,500
1,landscape,NA,NA,shdi,0,390,500
2,landscape,NA,NA,frac_mn,1.0494544134740988,390,500
2,landscape,NA,NA,msidi,0.15107785010654892,390,500
2,landscape,NA,NA,para_mn,0.3356039175540176,390,500
2,landscape,NA,NA,shdi,0.33854823209518203,390,500
1,landscape,NA,NA,frac_mn,1.0869711935787094,392,500
1,landscape,NA,NA,msidi,-0,392,500
1,landscape,NA,NA,para_mn,0.3376962069698202,392,500
1,landscape,NA,NA,shdi,0,392,500
2,landscape,NA,NA,frac_mn,1.0797147114992935,392,500
2,landscape,NA,NA,msidi,0.6346781076269079,392,500
2,landscape,NA,NA,para_mn,0.30135066341924066,392,500
2,landscape,NA,NA,shdi,0.9463442461228303,392,500
1,landscape,NA,NA,frac_mn,1.0947699264108128,85,1000
1,landscape,NA,NA,msidi,-0,85,1000
1,landscape,NA,NA,para_mn,0.09091203153705377,85,1000
1,landscape,NA,NA,shdi,0,85,1000
2,landscape,NA,NA,frac_mn,1.065838102886156,85,1000
2,landscape,NA,NA,msidi,0.21940544900506107,85,1000
2,landscape,NA,NA,para_mn,0.30815099097380055,85,1000
2,landscape,NA,NA,shdi,0.47878694050299014,85,1000
1,landscape,NA,NA,frac_mn,1.1008287204665335,86,1000
1,landscape,NA,NA,msidi,-0,86,1000
1,landscape,NA,NA,para_mn,0.14039362963474394,86,1000
1,landscape,NA,NA,shdi,0,86,1000
2,landscape,NA,NA,frac_mn,1.0598280062448489,86,1000
2,landscape,NA,NA,msidi,0.23012358575064923,86,1000
2,landscape,NA,NA,para_mn,0.3126336142270661,86,1000
2,landscape,NA,NA,shdi,0.48760646319898654,86,1000
1,landscape,NA,NA,frac_mn,1.098963526481632,87,1000
1,landscape,NA,NA,msidi,-0,87,1000
1,landscape,NA,NA,para_mn,0.09859001634826843,87,1000
1,landscape,NA,NA,shdi,0,87,1000
2,landscape,NA,NA,frac_mn,1.069185578659699,87,1000
2,landscape,NA,NA,msidi,0.3588075930260626,87,1000
2,landscape,NA,NA,para_mn,0.2991473617775743,87,1000
2,landscape,NA,NA,shdi,0.6654051005249112,87,1000
1,landscape,NA,NA,frac_mn,1.1282067782492107,88,1000
1,landscape,NA,NA,msidi,-0,88,1000
1,landscape,NA,NA,para_mn,0.1833443146142518,88,1000
1,landscape,NA,NA,shdi,0,88,1000
2,landscape,NA,NA,frac_mn,1.055897927593706,88,1000
2,landscape,NA,NA,msidi,0.12501210308700442,88,1000
2,landscape,NA,NA,para_mn,0.33966999979996654,88,1000
2,landscape,NA,NA,shdi,0.2839969773016294,88,1000
1,landscape,NA,NA,frac_mn,1.1344328602803069,89,1000
1,landscape,NA,NA,msidi,-0,89,1000
1,landscape,NA,NA,para_mn,0.12058060794780116,89,1000
1,landscape,NA,NA,shdi,0,89,1000
2,landscape,NA,NA,frac_mn,1.0751212503065937,89,1000
